filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
The Willoughbys,91,65,64,500+,PG (Rude Humor|Some Thematic Elements),"Kids & Family, Animation, Comedy",English,Kris Pearn,,Kris Pearn,,"Apr 22, 2020",,1h 32m,,,
Extraction,67,69,214,"2,500+",R (Brief Drug Use|Strong Bloody Violence|Language),"Action, Mystery & Thriller",English,Sam Hargrave,"Eric Gitter, Chris Hemsworth, Mike Larocca, Joe Russo, Anthony Russo",Joe Russo,,"Apr 25, 2020",,1h 57m,,,"Chris Hemsworth,Patrick Newall,Rayna Campbell,Shivam Vichare,Rudhraksh Jaiswal,Mir Sarwar,David Harbour,Golshifteh Farahani,Pankaj Tripathy,Randeep Hooda,"
Braking for Whales,,,,,,,,,,,,,,,,,
Bad Education,93,84,150,500+,,"Drama, Comedy",English,Cory Finley,"Fred Berger, Brian Kavanaugh-Jones, Julia Lebedev, Mike Makowsky, Oren Moverman, Eddie Vaisman",Mike Makowsky,,"Apr 26, 2020",,1h 43m,,,
Dangerous Lies,25,23,28,250+,,Mystery & Thriller,English,Michael M. Scott,,David Golden,,"May 1, 2020",,1h 36m,,,
All Day and a Night,54,59,37,100+,R (Strong Violence|Drug Use|Some Sexual Content/Nudity|Pervasive Language),Drama,English,Joe Robert Cole,"Nina Jacobson, Brad Simpson, Jared Goldman",,,"May 2, 2020",,2h 1m,,,"Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Isaiah John,Kelly Jenrette,Shakira Ja'nai Paye,Regina Taylor,Christopher Meyer,Joe Robert Cole,Nina Jacobson,"
The Wretched,75,46,110,500+,,"Mystery & Thriller, Horror",English,"Brett Pierce, Drew T. Pierce","Ed Polgardy, Chang Tseng","Brett Pierce, Drew T. Pierce","May 1, 2020  Limited","Apr 29, 2020",$1.8M,1h 35m,IFC Midnight,,
The Half of It,97,81,102,500+,PG-13 (Brief Language|Teen Drinking),"Lgbtq+, Romance, Comedy",English,Alice Wu,"Blair Breard, Anthony Bregman, Alice Wu",Alice Wu,,"May 2, 2020",,1h 45m,,,"Leah Lewis,Daniel Diemer,Alexxis Lemire,Enrique Murciano,Becky Ann Baker,Catherine Curtin,Wolfgang Novogratz,Collin Chou,Alice Wu,Alice Wu,"
Arkansas,47,52,66,250+,R (Language Throughout|Drug Material|Brief Nudity|Violence),"Mystery & Thriller, Crime, Drama, Comedy",English,Clark Duke,"Clark Duke, Patrick Hibler, Martin Sprock, Jeff Rice",Andrew Boonkrong,,"May 5, 2020",,1h 55m,,,"Liam Hemsworth,Vince Vaughn,John Malkovich,Michael Kenneth Williams,Clark Duke,Brad William Henke,Jeff Chase,Clark Duke,Andrew Boonkrong,Clark Duke,"
Valley Girl,59,82,54,250+,PG-13 (Teen Partying|Brief Nudity|Some Suggestive Material|Language),"Romance, Musical",English,Rachel Lee Goldenberg,Matt Smith,Amy Talkington,,"May 5, 2020",,1h 43m,,,"Jessica Rothe,Josh Whitehouse,Chloe Bennet,Logan Paul,Jessie Ennis,Ashleigh Murray,Mae Whitman,Mary Neely,Mario Revolori,Rob Huebel,"
